	datetime	total_cases	total_population
235	2014-07-07	0.0	5028000
236	2014-07-14	0.0	5028000
237	2014-07-21	0.0	5028000
238	2014-07-28	0.0	5028000
239	2014-08-04	0.0	5028000
240	2014-08-11	0.0	5028000
241	2014-08-18	0.0	5028000
242	2014-08-25	0.0	5028000
243	2014-09-01	0.0	5028000
244	2014-09-08	0.0	5028000
245	2014-09-15	0.0	5028000
246	2014-09-22	0.0	5028000
247	2014-09-29	0.0	5028000
248	2014-10-06	0.0	5028000
249	2014-10-13	0.0	5028000
250	2014-10-20	0.0	5028000
251	2014-10-27	0.0	5028000
252	2014-11-03	0.0	5028000
253	2014-11-10	0.0	5028000
254	2014-11-17	0.0	5028000
255	2014-11-24	0.0	5028000
256	2014-12-01	557.0	5028000
257	2014-12-08	0.0	5028000
258	2014-12-15	815.0	5028000
259	2014-12-22	3920.0	5028000
260	2014-12-29	1023.0	5131942
261	2015-01-05	439.0	5131942
262	2015-01-12	11260.0	5131942
263	2015-01-19	13798.0	5131942
264	2015-01-26	18775.0	5131942
265	2015-02-02	19628.0	5131942
266	2015-02-09	24087.0	5131942
267	2015-02-16	20905.0	5131942
268	2015-02-23	21078.0	5131942
269	2015-03-02	19069.0	5131942
270	2015-03-09	7525.0	5131942
271	2015-03-16	9714.0	5131942
272	2015-03-23	7939.0	5131942
273	2015-03-30	5217.0	5131942
274	2015-04-06	6847.0	5131942
275	2015-04-13	6526.0	5131942
276	2015-04-20	2236.0	5131942
277	2015-04-27	5455.0	5131942
278	2015-05-04	1895.0	5131942
279	2015-05-11	1361.0	5131942
280	2015-05-18	1160.0	5131942
281	2015-05-25	2569.0	5131942
282	2015-06-01	439.0	5131942
283	2015-06-08	0.0	5131942
284	2015-06-15	1018.0	5131942
285	2015-06-22	399.0	5131942
286	2015-06-29	0.0	5131942
287	2015-07-06	0.0	5131942
288	2015-07-13	0.0	5131942
289	2015-07-20	0.0	5131942
290	2015-07-27	0.0	5131942
291	2015-08-03	0.0	5131942
292	2015-08-10	0.0	5131942
293	2015-08-17	0.0	5131942
